utt_num,words,objects
217,ahhah you going to talk to bigbird,bird
218,tell bigbird a story,bird
219,uhuh,bird
220,okay,bird
221,yeah,bird
222,tell him some more,bird
223,tell bigbird more,bird
224,yeah youre telling mom,bird
225,get me out of that chair i dont like to sit up i like to lay down,bird
226,uhhuh,bird
227,yeah,bird
228,is that bigbird,bird
229,do you like bigbird,bird
230,huh,bird
231,yes,bird
232,oh,bird
233,you want to tell bigbird all sorts of things arent you,bird
234,can momma see bigbird,bird
235,yeah theres bigbird,bird
236,yeah,bird
237,theres bigbird,bird
238,ahhah,bird
239,ahhah,bird
240,is bigbird getting david,bird
241,that fun,bird
242,we have this at home you like that one,bird rattle
243,the bubbles or the beads go spinning around,bird rattle
244,can you make them spin,bird rattle
245,wow,bird rattle
246,you like bigbird better huh,bird rattle
247,yeah,bird rattle
248,what,bird rattle
249,hi there,rattle
250,hi there,rattle
251,oh yeah right in the mouth,rattle
252,it too big for the mouth though is it,rattle
253,yeah too big for the mouth,rattle
254,yeah,rattle
255,uhhuh,rattle
256,oh okay which one do you want different,rattle
257,want the book again,book
258,does david want to read the book,book eyes
259,its a look and see book,book eyes
260,look at the eyes looking back at you,book eyes
261,ahhah,book
262,you going to open it,book
263,yeah you going to eat it,book
264,lets read the book you ready,book eyes
265,look and see,book eyes
266,ahhah look,book eyes bear
267,look at the big red nose,book eyes bear
268,and the smilie,book eyes bear
269,and a bear with a bottle,book eyes bear
270,you want to hold it,book eyes bear
271,theres david,book mirror kitty
272,can you see david,book mirror kitty
273,look,book mirror kitty
274,see david in the mirror,book mirror kitty
275,yeah,book mirror kitty
276,oh yeah it tastes good doesnt,book mirror kitty
277,that book tastes much better than it is to read,book mirror kitty
278,theres a kittycat,book kitty baby
279,the kittycat says meow meow,book kitty baby
280,yeah,book kitty baby
281,does the book taste good mmm,book kitty baby
282,book tastes good,book
283,yeah,book
284,does the book taste good,book
285,lots of toys,book
286,lots of colors and toys,book
287,you want to sing some more,book
288,huh there are all these animals around we could probably we could sing old macdonald with the piggie,book
289,momma never even showed you,book pig cow
290,thats a cow,book pig cow
291,whats a cow say,book pig cow
292,moo,book pig cow
293,do we look at the moocows when we drive sometimes,book pig cow
294,alison tells us when the horses are there and when the cows are,book pig cow
295,huh,book pig cow
296,did you drop the book,book pig cow
297,you want the book back,book pig cow
298,theres the book,book pig cow
299,theres a moocow,book pig cow
300,and theres a piggie,book pig cow
301,oink oink,book pig cow
302,oink oink,book pig cow
303,yeah,book pig cow
304,you want to hold it,rattle
305,you want to do the rattle ahhah,rattle
306,oh thats good grip,rattle
307,good grip,rattle
308,let me see you do it,rattle
309,let me see you,rattle
310,that makes lots of noise dont it oh dont hit yourself in the nose,rattle
311,dont hit yourself in the nose,rattle
312,yeah,rattle
313,yeah,rattle
314,are you making music,rattle
315,are you making music,rattle
316,yeah,rattle
317,are you making music,rattle
318,look at the book,rattle book
319,look,rattle book eyes
320,look see,rattle book eyes
321,look see lets see,rattle book eyes
322,ahhah,rattle book eyes bear
323,what is that,rattle book eyes bear
324,is that another whats that baby have,rattle book eyes bear
325,whats that bear have,rattle book eyes bear
326,he got a bottle,rattle book eyes bear
327,yeah hes got a bottle,rattle book eyes bear
328,ahhah oh,rattle book mirror bunny
329,whos that pretty baby,rattle book mirror bunny
330,whos that pretty baby,rattle book mirror bunny
331,can you see,rattle book mirror bunny
332,oh,rattle book mirror bunny
333,thats mots pretty baby isnt it,rattle book mirror bunny
334,thats mots pretty baby,rattle book mirror bunny
335,yes ahhah,rattle book mirror bunny
336,whats this,rattle book mirror bunny
337,is that a bunnyrabbit,rattle book mirror bunny
338,is that a bunnyrabbit,rattle book mirror bunny
339,huh is that a big bunnyrabbit,rattle book mirror bunny
340,ahhah,rattle book baby kitty
341,whats the kitty,rattle book baby kitty
342,i think thats ambrose,rattle book baby kitty
343,is that ambrose,rattle book baby kitty
344,meow,rattle book baby kitty
345,is that old ambrose,rattle book man woman girl boy
346,oh who is that,rattle book man woman girl boy
347,is that another baby,rattle book man woman girl boy
348,is that another baby,rattle book man woman girl boy
349,yes it is,rattle book man woman girl boy
350,and,rattle book man woman girl boy
351,thats dada and mot,rattle book man woman girl boy
352,ahhah that can be courtney your big sister,rattle book man woman girl boy
353,and you,rattle book man woman girl boy
354,hey,rattle book
355,let me see,rattle
356,let me see,sheep
357,what else is in here,sheep
358,ahhah oh thats a little sheep,sheep
359,you want the little sheep,sheep
360,you want the sheep,sheep
361,baa,sheep
362,you want to get the little sheep,sheep
363,can you get him,sheep
364,can you get the sheep,sheep
365,huh,sheep
366,yeah,sheep
367,is he cute,sheep
368,what else is in here,cow
369,oh thats a moocow,cow
370,moo,cow
371,thats the moocow,cow
372,the moocow will get you,cow
373,the moocow will get you,cow
374,yes yes,cow
375,yes you going to laugh for mot,cow
376,are you going to laugh,cow
377,yeah you like to laugh,cow
378,yeah,cow
379,you laugh when you bit your big sister your big sister can always,cow
380,she can always make you laugh,cow
381,boo,cow
382,ahhah is that funny,cow
383,is that funny,cow
384,yeah you think thats funny dont you,cow
385,its a pig,pig
386,its a pig,pig
387,oink,pig
388,oink,pig
389,is that funny,pig
390,is that funny,pig
391,as grandma does,pig
392,what does grandma do,pig
393,what does grandma do she says,pig
394,here comes the bumblebee the bumblebee the bumble bzz,pig
395,yeah,pig
396,bzz it gets you,pig
397,yeah,pig
398,it does,pig
399,it gets you,pig
400,ahhah it gets you,pig
401,yes,pig
402,hey,rattle
403,want to make some more noise,rattle
404,huh,rattle
405,want to make some more noise,rattle
406,look at the ball,rattle
407,you see the balls going round,rattle
408,the balls going round,rattle
409,yeah,rattle
410,here,rattle
411,grab,rattle
412,what are you going to be,rattle
413,you going to be right handed or left handed,rattle
414,you dont know,rattle
415,say i dont know,rattle
416,i dont know,rattle
417,oh,rattle
418,are you going to be my drummer,rattle
419,are you going to be my little drummer,rattle
420,yes,rattle
421,yes,rattle
422,what else we got in here oh rolypoly,rattle duck
423,oh this makes noise too,rattle duck
424,what is that,rattle duck
425,is that a big bird,rattle duck
426,is that a big one,rattle duck
427,yeah,rattle duck
428,oh,rattle duck
429,dododo,rattle duck
430,dododo,rattle duck
431,dododo,rattle duck
432,let me see you get those feet going,rattle duck
433,let me see,rattle duck
434,like when you go in the pool,rattle duck
435,we going to go in the pool today,rattle duck
436,look up here,rattle duck
437,look,rattle duck
438,are we going to go in the pool today,rattle duck
439,go in the pool make big splashes,rattle duck
440,like last night,rattle duck
441,you made big splashes didnt you,rattle duck
442,you got the carpet in the bathroom all wet,rattle duck
443,yes you did,rattle duck
444,hey,rattle duck
445,look over here see the birdie,rattle duck
446,see the birdie,rattle duck
447,oh yes yes,rattle duck
448,i know,rattle duck
449,lets see,rattle duck
450,you want to hold the bird you want mot to hold this,rattle duck
451,huh,rattle duck
452,you want to hold the bird oh hes a funny bird isnt,rattle duck
453,he makes noise,rattle duck
454,i think he goes rollie lets see,rattle duck
455,lets see how he goes on the floor,rattle duck
456,lets see is he a birdie that tips,rattle duck
457,oh look hes a rolypoly bird,rattle duck
458,look he cant fall over,rattle duck
459,hes not falling over,rattle duck
460,no,rattle duck
461,heres the moocow,rattle cow
462,heres the moocow,rattle pig cow
463,heres moocow,rattle pig cow
464,oh we can put the pig over here,rattle duck pig cow
465,are you going to hit the pig,rattle pig cow
466,oh are you going to knock the pig over,rattle pig cow
467,dont knock the pig over,rattle pig cow
468,oh there went the cow,rattle pig
469,there went the cow,rattle pig
470,oh there went the pig,rattle pig
471,there went the cow,rattle cow
472,there we go,rattle pig cow
473,choo choo,rattle pig cow
474,you want to hold the pig,rattle pig cow
475,whats the pig say,rattle pig cow
476,oink oink,rattle pig cow
477,oink oink,rattle pig cow
478,you got the pig,rattle pig cow
479,can you get,rattle pig cow
480,too much in your hands,pig cow
481,get the piggie,pig cow
482,get the piggie,pig cow
483,yes,pig cow
484,yes,pig cow
485,oh,pig cow ring
486,yes,pig cow ring
487,what else we got,pig cow ring
488,oh you have,pig cow ring
489,we have these at grandmas,pig cow ring
490,grandma has these doesnt she,pig cow ring
491,she has the big rings,pig cow ring
492,doesnt she,pig cow ring
493,yes,pig cow ring
494,you want to make a bracelet,pig cow ring
495,you want to make a bracelet,pig cow ring
496,hmm,pig cow ring
497,can you get that,pig cow ring
498,what you going to do with that,pig cow ring
499,maybe the pig,pig ring
500,the pig,pig ring
501,put the pig in there,pig ring
502,is that blue,pig ring
503,thats blue,pig ring
504,what colors this,pig ring
505,is that green,pig ring
506,green you going to get the green one too,pig ring
507,yes,pig ring
508,i can put the yellow one on your foot,pig ring
509,put the yellow one on your foots,ring
510,ahhah oh boy you knocked it off,ring
511,you knocked it off,ring
512,choo,ring
513,choo,ring
514,knock them together,ring
515,knock them together like this,ring
516,choo,ring
517,let me see you do that,ring
518,huh,ring
519,yeah thats good thats good,ring
520,thats good,ring
521,you want to trade,ring
522,you like knocking them together dont you,ring
523,you like knocking them together dont you,ring
524,you want to trade,ring
525,you take the yellow one,ring
526,you want the yellow one,ring
527,mot has the green one,ring
528,yeah,ring
529,yeah,ring
530,here lets see,ring
531,can you put it on the ring,ring
532,can you put it on the ring,ring
533,let me see you put it try to put it on the ring,ring
534,oh you just going to take it,ring
535,are you going to take it,ring
536,huh,ring
537,lets see,ring
538,hey look look,ring
539,look up here,ring
540,lets go,ring
541,watch,ring
542,boo,ring
543,what color goes next,ring
544,look,ring
545,oh do you want that ring back,ring
546,you took my ring mot,ring
547,you want it back,ring
548,you want it backs,ring
549,there you go,ring
550,there you go,ring
551,ahhah,ring
552,oh are y ou going are you going to chew on it,ring
553,are you going to chew on its,ring
554,yes yes,ring
555,oh lets sit you up sit you up,ring
556,yeah,ring
557,hey,ring
558,hey,ring
559,let me have that,ring
560,let me have that,ring
561,let me have that,ring
562,ahhah whats this,ring hat
563,what does mot look like with the hat on,ring hat
564,do i look pretty good with the hat on,ring hat
565,hmm,ring hat
566,hmm,ring hat
567,do i look pretty good,ring hat
568,peekaboo,ring hat
569,peekaboo,ring hat
570,peekaboo,ring hat
571,ahhah,ring hat
572,ahhah,ring hat
573,whos this on the hat,ring hat
574,i think this is oh thats minniemouse,ring hat
575,do you see minniemouse,ring hat
576,yes you see minniemouse,ring hat
577,hey,ring hat
578,oh get that ring,ring hat
579,get that ring,ring hat
580,get it,ring hat
581,let me see you grab it,ring hat
582,let me see you grab,ring hat
583,ahhah,ring hat
584,hey,ring hat
585,let me see you grab it,ring hat
586,reach for it,ring hat
587,come on,ring hat
588,reach for it,ring hat
589,reach for it which one do you want you want the green one here,ring hat
590,here,ring hat
591,reach for the ring,ring hat
592,can you get it,ring hat
593,there you go,ring hat
594,good girl,ring hat
595,thats a good girl,ring
596,thats a good girl,ring
597,you want the blue one,ring
598,you want the blue one,ring
599,can you reach for it,ring
600,can you reach for the blue one,ring
601,huh,ring
602,ahhah what are you doing,ring
603,ahhah what are you doing,ring
604,what if i put it on your head,ring
605,do you know where it is,ring
606,do you know where it went,ring
607,where did it go,ring
608,you dont know,ring
609,its on your head,ring
610,it was on your head,ring
611,ahhah oh,ring
612,no,ring
613,what if someone else wants to play with those and youll have your,ring
614,youll have your baby drool on them,ring
615,yeah,ring
616,hey,ring
617,heres the birdie,ring duck
618,here the birdie,ring duck
619,does the bird go up,ring duck
